ProductType,Product,Region,ContractLength,NonSCUnitRate,SCUnitRate,StandingCharge,MinAQ,MaxAQ
Gas,CNG Gas >= 1 <= 10000,EA,One Year,0,0.018868,0.35,1,10000
Gas,CNG Gas >= 10001 <= 36633,EA,One Year,0,0.018526,0.81,10001,36633
Gas,CNG Gas >= 36634 <= 73266,EA,One Year,0.035084,0.018185,1.68,36634,73266
Gas,CNG Gas >= 73267 <= 109901,EA,One Year,0.02715,0,0,73267,109901
Gas,CNG Gas >= 109902 <= 146535,EA,One Year,0.026475,0,0,109902,146535
Gas,CNG Gas >= 146536 <= 219803,EA,One Year,0.024717,0,0,146536,219803
Gas,CNG Gas >= 219804 <= 293071,EA,One Year,0.024478,0,0,219804,293071
Gas,CNG Gas >= 1 <= 10000,EM,One Year,0,0.018868,0.35,1,10000
Gas,CNG Gas >= 10001 <= 36633,EM,One Year,0,0.018526,0.81,10001,36633
Gas,CNG Gas >= 36634 <= 73266,EM,One Year,0.032978,0.018185,1.68,36634,73266
Gas,CNG Gas >= 73267 <= 109901,EM,One Year,0.026502,0,0,73267,109901
Gas,CNG Gas >= 109902 <= 146535,EM,One Year,0.026007,0,0,109902,146535
Gas,CNG Gas >= 146536 <= 219803,EM,One Year,0.024264,0,0,146536,219803
Gas,CNG Gas >= 219804 <= 293071,EM,One Year,0.024185,0,0,219804,293071
Gas,CNG Gas >= 1 <= 10000,NE,One Year,0,0.018868,0.35,1,10000
Gas,CNG Gas >= 10001 <= 36633,NE,One Year,0,0.018526,0.81,10001,36633
Gas,CNG Gas >= 36634 <= 73266,NE,One Year,0.034101,0.018185,1.68,36634,73266
Gas,CNG Gas >= 73267 <= 109901,NE,One Year,0.027519,0,0,73267,109901
Gas,CNG Gas >= 109902 <= 146535,NE,One Year,0.026973,0,0,109902,146535
Gas,CNG Gas >= 146536 <= 219803,NE,One Year,0.025178,0,0,146536,219803
Gas,CNG Gas >= 219804 <= 293071,NE,One Year,0.025089,0,0,219804,293071
Gas,CNG Gas >= 1 <= 10000,NO,One Year,0,0.018868,0.35,1,10000
Gas,CNG Gas >= 10001 <= 36633,NO,One Year,0,0.018526,0.81,10001,36633
Gas,CNG Gas >= 36634 <= 73266,NO,One Year,0.033965,0.018185,1.68,36634,73266
Gas,CNG Gas >= 73267 <= 109901,NO,One Year,0.027382,0,0,73267,109901
Gas,CNG Gas >= 109902 <= 146535,NO,One Year,0.026836,0,0,109902,146535
Gas,CNG Gas >= 146536 <= 219803,NO,One Year,0.025042,0,0,146536,219803
Gas,CNG Gas >= 219804 <= 293071,NO,One Year,0.024953,0,0,219804,293071
Gas,CNG Gas >= 1 <= 10000,NT,One Year,0,0.018868,0.35,1,10000
Gas,CNG Gas >= 10001 <= 36633,NT,One Year,0,0.018526,0.81,10001,36633
Gas,CNG Gas >= 36634 <= 73266,NT,One Year,0.03477,0.018185,1.68,36634,73266
Gas,CNG Gas >= 73267 <= 109901,NT,One Year,0.028119,0,0,73267,109901
Gas,CNG Gas >= 109902 <= 146535,NT,One Year,0.027539,0,0,109902,146535
Gas,CNG Gas >= 146536 <= 219803,NT,One Year,0.02571,0,0,146536,219803
Gas,CNG Gas >= 219804 <= 293071,NT,One Year,0.025618,0,0,219804,293071
Gas,CNG Gas >= 1 <= 10000,NW,One Year,0,0.018868,0.35,1,10000
Gas,CNG Gas >= 10001 <= 36633,NW,One Year,0,0.018526,0.81,10001,36633
Gas,CNG Gas >= 36634 <= 73266,NW,One Year,0.034057,0.018185,1.68,36634,73266
Gas,CNG Gas >= 73267 <= 109901,NW,One Year,0.027608,0,0,73267,109901
Gas,CNG Gas >= 109902 <= 146535,NW,One Year,0.02713,0,0,109902,146535
Gas,CNG Gas >= 146536 <= 219803,NW,One Year,0.025403,0,0,146536,219803
Gas,CNG Gas >= 219804 <= 293071,NW,One Year,0.025325,0,0,219804,293071
Gas,CNG Gas >= 1 <= 10000,SC,One Year,0,0.018868,0.35,1,10000
Gas,CNG Gas >= 10001 <= 36633,SC,One Year,0,0.018526,0.81,10001,36633
Gas,CNG Gas >= 36634 <= 73266,SC,One Year,0.034084,0.018185,1.68,36634,73266
Gas,CNG Gas >= 73267 <= 109901,SC,One Year,0.027543,0,0,73267,109901
Gas,CNG Gas >= 109902 <= 146535,SC,One Year,0.027017,0,0,109902,146535
Gas,CNG Gas >= 146536 <= 219803,SC,One Year,0.025243,0,0,146536,219803
Gas,CNG Gas >= 219804 <= 293071,SC,One Year,0.025158,0,0,219804,293071
Gas,CNG Gas >= 1 <= 10000,SE,One Year,0,0.018868,0.35,1,10000
Gas,CNG Gas >= 10001 <= 36633,SE,One Year,0,0.018526,0.81,10001,36633
Gas,CNG Gas >= 36634 <= 73266,SE,One Year,0.034326,0.018185,1.68,36634,73266
Gas,CNG Gas >= 73267 <= 109901,SE,One Year,0.027788,0,0,73267,109901
Gas,CNG Gas >= 109902 <= 146535,SE,One Year,0.027263,0,0,109902,146535
Gas,CNG Gas >= 146536 <= 219803,SE,One Year,0.025488,0,0,146536,219803
Gas,CNG Gas >= 219804 <= 293071,SE,One Year,0.025407,0,0,219804,293071
Gas,CNG Gas >= 1 <= 10000,SO,One Year,0,0.018868,0.35,1,10000
Gas,CNG Gas >= 10001 <= 36633,SO,One Year,0,0.018526,0.81,10001,36633
Gas,CNG Gas >= 36634 <= 73266,SO,One Year,0.034893,0.018185,1.68,36634,73266
Gas,CNG Gas >= 73267 <= 109901,SO,One Year,0.028355,0,0,73267,109901
Gas,CNG Gas >= 109902 <= 146535,SO,One Year,0.027829,0,0,109902,146535
Gas,CNG Gas >= 146536 <= 219803,SO,One Year,0.026055,0,0,146536,219803
Gas,CNG Gas >= 219804 <= 293071,SO,One Year,0.025973,0,0,219804,293071
Gas,CNG Gas >= 1 <= 10000,SW,One Year,0,0.018868,0.35,1,10000
Gas,CNG Gas >= 10001 <= 36633,SW,One Year,0,0.018526,0.81,10001,36633
Gas,CNG Gas >= 36634 <= 73266,SW,One Year,0.035074,0.018185,1.68,36634,73266
Gas,CNG Gas >= 73267 <= 109901,SW,One Year,0.028529,0,0,73267,109901
Gas,CNG Gas >= 109902 <= 146535,SW,One Year,0.028,0,0,109902,146535
Gas,CNG Gas >= 146536 <= 219803,SW,One Year,0.026222,0,0,146536,219803
Gas,CNG Gas >= 219804 <= 293071,SW,One Year,0.026137,0,0,219804,293071
Gas,CNG Gas >= 1 <= 10000,WM,One Year,0,0.018868,0.35,1,10000
Gas,CNG Gas >= 10001 <= 36633,WM,One Year,0,0.018526,0.81,10001,36633
Gas,CNG Gas >= 36634 <= 73266,WM,One Year,0.034354,0.018185,1.68,36634,73266
Gas,CNG Gas >= 73267 <= 109901,WM,One Year,0.027877,0,0,73267,109901
Gas,CNG Gas >= 109902 <= 146535,WM,One Year,0.027382,0,0,109902,146535
Gas,CNG Gas >= 146536 <= 219803,WM,One Year,0.025639,0,0,146536,219803
Gas,CNG Gas >= 219804 <= 293071,WM,One Year,0.02556,0,0,219804,293071
Gas,CNG Gas >= 1 <= 10000,WN,One Year,0,0.018868,0.35,1,10000
Gas,CNG Gas >= 10001 <= 36633,WN,One Year,0,0.018526,0.81,10001,36633
Gas,CNG Gas >= 36634 <= 73266,WN,One Year,0.035531,0.018185,1.68,36634,73266
Gas,CNG Gas >= 73267 <= 109901,WN,One Year,0.028986,0,0,73267,109901
Gas,CNG Gas >= 109902 <= 146535,WN,One Year,0.028457,0,0,109902,146535
Gas,CNG Gas >= 146536 <= 219803,WN,One Year,0.026679,0,0,146536,219803
Gas,CNG Gas >= 219804 <= 293071,WN,One Year,0.026594,0,0,219804,293071
Gas,CNG Gas >= 1 <= 10000,WS,One Year,0,0.018868,0.35,1,10000
Gas,CNG Gas >= 10001 <= 36633,WS,One Year,0,0.018526,0.81,10001,36633
Gas,CNG Gas >= 36634 <= 73266,WS,One Year,0.034098,0.018185,1.68,36634,73266
Gas,CNG Gas >= 73267 <= 109901,WS,One Year,0.027553,0,0,73267,109901
Gas,CNG Gas >= 109902 <= 146535,WS,One Year,0.027024,0,0,109902,146535
Gas,CNG Gas >= 146536 <= 219803,WS,One Year,0.025246,0,0,146536,219803
Gas,CNG Gas >= 219804 <= 293071,WS,One Year,0.025161,0,0,219804,293071
